ts,trade_id,symbol,side,event,price,qty,pnl_usdt,r_mult,mode,note
2026-02-20T20:24:00Z,1a2740a6-0cee-407a-a5c4-4094420f10ab,ALLOUSDT,LONG,ENTRY,0.14533,8406.11616030329,0.0,0.0,PAPER,TOM_APPROVE
2026-02-20T20:24:52Z,eb2deeb1-e197-47b6-99f5-6cf13af5a6f7,ALLOUSDT,LONG,ENTRY,0.14533,8406.11616030329,0.0,0.0,PAPER,TOM_APPROVE
2026-02-20T20:40:09Z,57d9060e-d10a-4fad-a896-dafb780a3ec7,SNXUSDT,LONG,ENTRY,0.373,8445.234644274433,0.0,0.0,PAPER,TOM_APPROVE
2026-02-20T20:45:10Z,5db73f6b-93e3-4dc4-b68b-8f2f9f05b8c0,SNXUSDT,LONG,ENTRY,0.381,7868.131733233086,0.0,0.0,PAPER,TOM_APPROVE
2026-02-20T20:50:01Z,c2fa38d7-d845-493a-972d-441e4849a3b7,XAGUSDT,SHORT,ENTRY,84.07,120.06400832360617,0.0,0.0,PAPER,TOM_APPROVE
2026-02-20T20:55:19Z,dd14bdcc-8ce8-4da5-8edd-bd5c995cde08,XAGUSDT,SHORT,ENTRY,84.33,118.76930011272552,0.0,0.0,PAPER,TOM_APPROVE
2026-02-20T20:56:03Z,b196cbbc-af8c-4024-901d-48ff7e3c2fb9,SNXUSDT,LONG,TP1,0.3848409972,4222.6173221372,50.0,5.0,PAPER,TP1 hit; 50% closed; SL->BE
2026-02-20T20:56:58Z,24b2c401-7f01-480f-a2ce-d03caff9b59b,XAGUSDT,SHORT,SL,84.476444534,120.0640083236,-50.0,-5.0,PAPER,Stop loss hit; trade closed
2026-02-20T21:00:24Z,b3e8589b-3326-40ca-abc0-e436ffa32a5a,XAGUSDT,SHORT,ENTRY,84.47,117.29625957135866,0.0,0.0,PAPER,TOM_APPROVE
2026-02-20T21:01:17Z,ac6c5dc4-ca49-4a88-9ee5-fc9b966610fa,ALLOUSDT,LONG,SL,0.1393819499,8406.1161603033,-50.0,-5.0,PAPER,Stop loss hit; trade closed
2026-02-20T21:01:17Z,f1288894-3979-427b-9dcd-34a417610ba2,ALLOUSDT,LONG,SL,0.1393819499,8406.1161603033,-50.0,-5.0,PAPER,Stop loss hit; trade closed
2026-02-20T21:05:25Z,1d0a5eb6-f252-49d3-bcff-d1ff23195d84,XAGUSDT,SHORT,ENTRY,84.22,116.83171716669344,0.0,0.0,PAPER,TOM_APPROVE
2026-02-20T21:25:53Z,fcf58a95-27f3-4392-9cf9-56340bb4b810,MYXUSDT,SHORT,ENTRY,1.022,1178.0090507068896,0.0,0.0,PAPER,TOM_APPROVE
2026-02-20T21:41:20Z,3ec269a1-d5bf-4b28-ab2f-5b65c1ae0636,MYXUSDT,SHORT,ENTRY,1.03,1152.2337931660531,0.0,0.0,PAPER,TOM_APPROVE
2026-02-20T22:11:30Z,e76ef173-e7cc-4791-972d-c1327ca43bb4,RIVERUSDT,SHORT,ENTRY,8.31,513.4210830742113,0.0,0.0,PAPER,TOM_APPROVE
2026-02-20T22:16:36Z,9a9aa174-e3cc-4fa7-96b8-d75cb665813c,SPACEUSDT,SHORT,ENTRY,0.010215,380788.66075366933,0.0,0.0,PAPER,TOM_APPROVE
2026-02-20T22:21:42Z,dd6a9b56-3780-4faf-9532-f42763c18f16,BNBUSDT,LONG,ENTRY,626.11,32.41435447508102,0.0,0.0,PAPER,TOM_APPROVE
2026-02-20T22:26:51Z,430cb473-68ce-4c7d-8750-03a95458756c,BNBUSDT,LONG,ENTRY,627.42,30.684468536271847,0.0,0.0,PAPER,TOM_APPROVE
2026-02-20T22:31:52Z,13bb293c-a658-4458-bdd9-37b06799c401,WLFIUSDT,SHORT,ENTRY,0.1196,52407.97487704997,0.0,0.0,PAPER,TOM_APPROVE
2026-02-20T22:35:12Z,1a575a2b-7b1e-4db4-8883-1c1b549a6386,SPACEUSDT,SHORT,SL,0.0103493064,380788.6607536693,-50.0,-5.0,PAPER,Stop loss hit; trade closed
2026-02-20T22:35:37Z,9ed2e37f-190d-4c5f-9fb3-9d003eca7e1f,WLFIUSDT,SHORT,SL,0.1205540533,52407.97487705,-50.0,-5.0,PAPER,Stop loss hit; trade closed
2026-02-20T22:38:47Z,e3fba8b4-5540-4c62-b96f-5e74df14a9e5,RIVERUSDT,SHORT,TP1,8.1122280997,256.7105415371,50.0,5.0,PAPER,TP1 hit; 50% closed; SL->BE
