nohup: ignoring input
[BOOT] live paper loop started | scan_interval=5s | restored_open=0 | restored_closed=0 | restored_realized=0.0
[LOOP] 2026-03-22T04:47:19.029065+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 8 | settled= 0 | exited= 0 | open_positions= 8 | realized_pnl= 0.0 | free_capital= 99562.0
[LOOP] 2026-03-22T04:48:21.196784+00:00 | triggers= 1 | acceptable= 30 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 16 | realized_pnl= 0.0 | free_capital= 99124.0
[LOOP] 2026-03-22T04:49:30.308310+00:00 | triggers= 1 | acceptable= 30 | ranked= 8 | funded_baskets= 6 | settled= 0 | exited= 0 | open_positions= 22 | realized_pnl= 0.0 | free_capital= 98628.18
[LOOP] 2026-03-22T04:50:19.327226+00:00 | triggers= 1 | acceptable= 30 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:51:09.644682+00:00 | triggers= 1 | acceptable= 30 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:51:16.213428+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:51:22.814446+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:51:29.432807+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:51:36.064386+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:51:42.723781+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:51:49.274266+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:51:55.930305+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:52:02.600506+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:52:09.287948+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:52:15.897948+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:52:22.528295+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:52:29.182383+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:52:35.901385+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:52:42.542896+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:52:49.188014+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:52:55.879828+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:53:02.596693+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:53:09.203487+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:53:15.897805+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:53:22.557272+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:53:29.182690+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:53:35.861559+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:53:42.479819+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:53:49.195557+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:53:55.919958+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:54:02.543406+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:54:10.211633+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:54:16.860711+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:54:23.568425+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:54:30.209899+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:54:36.981257+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:54:43.671580+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:54:50.342174+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:54:57.134557+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:55:03.799826+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:55:10.402744+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:55:17.074629+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:55:23.727140+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:55:30.351246+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:55:37.014437+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:55:43.669715+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:55:50.303145+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:55:57.008315+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:56:03.726129+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
[LOOP] 2026-03-22T04:56:10.468382+00:00 | triggers= 1 | acceptable= 25 | ranked= 8 | funded_baskets= 0 | settled= 0 | exited= 0 | open_positions= 28 | realized_pnl= 0.0 | free_capital= 98132.35
