nohup: ignoring input
/root/.openclaw/workspace/polymarket_engine/radar_engine.py:339: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  f"{datetime.utcnow().isoformat()} | "
SIGNALATLAS RADAR ENGINE STARTED
2026-03-11T15:10:29.332939 | deploy=0 watch=3
2026-03-11T15:11:29.334152 | deploy=0 watch=3
2026-03-11T15:12:29.335241 | deploy=0 watch=3
2026-03-11T15:13:29.336447 | deploy=0 watch=3
2026-03-11T15:14:29.337604 | deploy=0 watch=3
2026-03-11T15:15:29.338507 | deploy=0 watch=3
2026-03-11T15:16:29.339659 | deploy=0 watch=3
2026-03-11T15:17:29.340724 | deploy=0 watch=3
2026-03-11T15:18:29.341902 | deploy=0 watch=3
2026-03-11T15:19:29.343129 | deploy=0 watch=3
2026-03-11T15:20:29.343910 | deploy=0 watch=3
2026-03-11T15:21:29.344786 | deploy=0 watch=3
2026-03-11T15:22:29.345830 | deploy=0 watch=3
2026-03-11T15:23:29.347096 | deploy=0 watch=3
2026-03-11T15:24:29.348000 | deploy=0 watch=3
2026-03-11T15:25:29.348853 | deploy=0 watch=3
2026-03-11T15:26:29.349831 | deploy=0 watch=3
2026-03-11T15:27:29.350715 | deploy=0 watch=3
2026-03-11T15:28:29.351644 | deploy=0 watch=3
2026-03-11T15:29:29.352749 | deploy=0 watch=3
2026-03-11T15:30:29.353953 | deploy=0 watch=3
2026-03-11T15:31:29.354919 | deploy=0 watch=3
2026-03-11T15:32:29.356010 | deploy=0 watch=3
2026-03-11T15:33:29.356817 | deploy=0 watch=3
2026-03-11T15:34:29.357819 | deploy=0 watch=3
2026-03-11T15:35:29.358733 | deploy=0 watch=3
2026-03-11T15:36:29.359718 | deploy=0 watch=3
2026-03-11T15:37:29.360892 | deploy=0 watch=3
2026-03-11T15:38:29.361762 | deploy=0 watch=3
2026-03-11T15:39:29.362656 | deploy=0 watch=3
2026-03-11T15:40:29.363548 | deploy=0 watch=3
2026-03-11T15:41:29.364475 | deploy=0 watch=3
2026-03-11T15:42:29.365685 | deploy=0 watch=3
2026-03-11T15:43:29.366699 | deploy=0 watch=3
2026-03-11T15:44:29.367658 | deploy=0 watch=3
2026-03-11T15:45:29.368647 | deploy=0 watch=3
2026-03-11T15:46:29.369552 | deploy=0 watch=3
2026-03-11T15:47:29.371097 | deploy=0 watch=3
2026-03-11T15:48:29.371952 | deploy=0 watch=3
2026-03-11T15:49:29.372976 | deploy=0 watch=3
2026-03-11T15:50:29.374051 | deploy=0 watch=3
2026-03-11T15:51:29.375163 | deploy=0 watch=3
2026-03-11T15:52:29.376123 | deploy=0 watch=3
